No.	Accession	Region	Country	Province PRC	Longitude	Latitude	Biological status	Group in phylogenetic tree	Data Source
1	lz-1	East Asia	China	Heilongjiang	123.97 	47.33 	Pre-breeding line	Cluster ¢ñ	This study
2	lz-2	East Asia	China	Heilongjiang	123.97 	47.33 	Pre-breeding line	Cluster ¢ñ	This study
3	lz-3	East Asia	China	Heilongjiang	123.97 	47.33 	Pre-breeding line	Cluster ¢ó	This study
4	lz-4	East Asia	China	Heilongjiang	123.97 	47.33 	Pre-breeding line	Cluster ¢ó	This study
5	lz-5	East Asia	China	Liaoning	123.38 	41.80 	Pre-breeding line	Cluster ¢ô	This study
6	lz-6	East Asia	China	Liaoning	123.38 	41.80 	Pre-breeding line	Cluster ¢ô	This study
7	lz-7	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ò	This study
8	lz-8	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ñ	This study
9	lz-9	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ñ	This study
10	lz-10	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ò	This study
11	lz-11	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ò	This study
12	lz-12	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
13	lz-13	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
14	lz-14	East Asia	China	Liaoning	123.38 	41.80 	Pre-breeding line	Cluster ¢ñ	This study
15	lz-15	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ñ	This study
16	lz-16	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
17	lz-17	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ñ	This study
18	lz-18	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
19	lz-19	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
20	lz-20	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ñ	This study
21	lz-21	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
22	lz-22	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
23	lz-23	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ñ	This study
24	lz-24	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
25	lz-25	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
26	lz-26	East Asia	China	Shaanxi	109.29 	37.96 	Breeding line	Cluster ¢ó	This study
27	lz-27	East Asia	China	Beijing	116.46 	39.92 	Breeding line	Cluster ¢ô	This study
28	lz-28	East Asia	China	Shaanxi	109.29 	37.96 	Pre-breeding line	Cluster ¢ò	This study
29	lz-29	East Asia	China	Henan	113.38 	34.79 	Pre-breeding line	Cluster ¢ó	This study
30	lz-30	East Asia	China	Henan	114.83 	31.62 	Pre-breeding line	Cluster ¢ó	This study
31	lz-32	East Asia	China	Henan	113.99 	32.97 	Pre-breeding line	Cluster ¢ó	This study
32	lz-33	East Asia	China	Henan	113.36 	33.63 	Pre-breeding line	Cluster ¢ó	This study
33	lz-34	East Asia	China	Henan	113.43 	32.38 	Pre-breeding line	Cluster ¢ó	This study
34	lz-35	East Asia	China	Henan	114.89 	33.73 	Pre-breeding line	Cluster ¢ó	This study
35	lz-36	East Asia	China	Henan	115.18 	33.64 	Pre-breeding line	Cluster ¢ñ	This study
36	lz-37	East Asia	China	Henan	115.61 	34.44 	Pre-breeding line	Cluster ¢ó	This study
37	lz-38	East Asia	China	Henan	114.47 	34.48 	Pre-breeding line	Cluster ¢ñ	This study
38	lz-39	East Asia	China	Henan	112.45 	34.83 	Pre-breeding line	Cluster ¢ñ	This study
39	lz-40	East Asia	China	Henan	110.89 	34.52 	Pre-breeding line	Cluster ¢ô	This study
40	lz-41	East Asia	China	Henan	113.81 	35.19 	Pre-breeding line	Cluster ¢ó	This study
41	lz-42	East Asia	China	Henan	114.06 	35.40 	Pre-breeding line	Cluster ¢ó	This study
42	lz-43	East Asia	China	Henan	113.45 	35.22 	Pre-breeding line	Cluster ¢ó	This study
43	lz-44	East Asia	China	Henan	112.09 	32.69 	Pre-breeding line	Cluster ¢ó	This study
44	lz-45	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ñ	This study
45	lz-46	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ñ	This study
46	lz-47	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
47	lz-48	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
48	lz-49	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
49	lz-50	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
50	lz-51	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
51	lz-52	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ñ	This study
52	lz-53	East Asia	China	Anhui	117.27 	31.86 	Pre-breeding line	Cluster ¢ò	This study
53	lz-54	East Asia	China	Anhui	117.27 	31.86 	Pre-breeding line	Cluster ¢ò	This study
54	lz-55	East Asia	China	Anhui	117.27 	31.86 	Pre-breeding line	Cluster ¢ò	This study
55	lz-56	East Asia	China	Anhui	117.27 	31.86 	Pre-breeding line	Cluster ¢ó	This study
56	lz-57	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
57	lz-58	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
58	lz-59	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
59	lz-60	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ô	This study
60	lz-61	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
61	lz-62	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
62	lz-63	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
63	lz-64	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
64	lz-65	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
65	lz-66	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
66	lz-67	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
67	lz-68	East Asia	China	Chongqing	106.54 	29.59 	Pre-breeding line	Cluster ¢ó	This study
68	lz-69	East Asia	China	Chongqing	106.54 	29.59 	Pre-breeding line	Cluster ¢ó	This study
69	lz-70	East Asia	China	Chongqing	106.54 	29.59 	Pre-breeding line	Cluster ¢ó	This study
70	lz-71	East Asia	China	Chongqing	106.54 	29.59 	Pre-breeding line	Cluster ¢ó	This study
71	lz-72	East Asia	China	Chongqing	106.54 	29.59 	Pre-breeding line	Cluster ¢ô	This study
72	lz-73	East Asia	China	Hainan	110.35 	20.02 	Pre-breeding line	Cluster ¢ó	This study
73	lz-74	East Asia	China	Hainan	110.35 	20.02 	Pre-breeding line	Cluster ¢ô	This study
74	lz-75	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
75	lz-76	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
76	lz-77	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
77	lz-78	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
78	lz-79	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
79	lz-80	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
80	lz-81	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ó	This study
81	lz-82	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
82	lz-83	East Asia	China	Beijing	116.46 	39.92 	Breeding line	Cluster ¢ô	This study
83	lz-84	East Asia	China	Beijing	116.46 	39.92 	Breeding line	Cluster ¢ô	This study
84	lz-85	East Asia	China	Beijing	116.46 	39.92 	Breeding line	Cluster ¢ô	This study
85	lz-86	East Asia	China	Beijing	116.46 	39.92 	Breeding line	Cluster ¢ô	This study
86	lz-87	East Asia	China	Beijing	116.46 	39.92 	Breeding line	Cluster ¢ñ	This study
87	lz-88	East Asia	China	Liaoning	123.38 	41.80 	Breeding line	Cluster ¢ñ	This study
88	lz-89	East Asia	China	Liaoning	123.38 	41.80 	Breeding line	Cluster ¢ô	This study
89	lz-90	East Asia	China	Jilin	125.35 	43.88 	Breeding line	Cluster ¢ñ	This study
90	lz-91	East Asia	China	Jilin	125.35 	43.88 	Breeding line	Cluster ¢ñ	This study
91	lz-92	East Asia	China	Jilin	125.35 	43.88 	Breeding line	Cluster ¢ñ	This study
92	lz-93	East Asia	China	Shanxi	112.53 	37.87 	Breeding line	Cluster ¢ò	This study
93	lz-94	East Asia	China	Shanxi	112.53 	37.87 	Breeding line	Cluster ¢ó	This study
94	lz-95	East Asia	China	Shanxi	112.53 	37.87 	Breeding line	Cluster ¢ñ	This study
95	lz-96	East Asia	China	Shandong	117.00 	36.65 	Breeding line	Cluster ¢ô	This study
96	lz-97	East Asia	China	Shandong	117.00 	36.65 	Breeding line	Cluster ¢ó	This study
97	lz-98	East Asia	China	Shandong	117.00 	36.65 	Breeding line	Cluster ¢ó	This study
98	lz-99	East Asia	China	Shandong	117.00 	36.65 	Breeding line	Cluster ¢ô	This study
99	lz-100	East Asia	China	Shandong	117.00 	36.65 	Breeding line	Cluster ¢ô	This study
100	lz-101	East Asia	China	Shandong	117.00 	36.65 	Breeding line	Cluster ¢ô	This study
101	lz-102	East Asia	China	Liaoning	123.38 	41.80 	Breeding line	Cluster ¢ñ	This study
102	lz-103	East Asia	China	Liaoning	123.38 	41.80 	Breeding line	Cluster ¢ñ	This study
103	lz-104	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
104	lz-105	East Asia	China	Jilin	125.35 	43.88 	Breeding line	Cluster ¢ô	This study
105	lz-106	East Asia	China	Zhejiang	120.19 	30.26 	Breeding line	Cluster ¢ô	This study
106	lz-107	East Asia	China	Anhui	117.27 	31.86 	Breeding line	Cluster ¢ñ	This study
107	lz-108	East Asia	China	Heilongjiang	126.63 	45.75 	Breeding line	Cluster ¢ñ	This study
108	lz-109	East Asia	China	Shaanxi	108.95 	34.27 	Pre-breeding line	Cluster ¢ó	This study
109	lz-110	East Asia	China	Henan	113.65 	34.76 	Breeding line	Cluster ¢ô	This study
110	lz-111	East Asia	China	Shaanxi	108.95 	34.27 	Breeding line	Cluster ¢ñ	This study
111	lz-112	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ó	This study
112	lz-113	East Asia	China	Henan	113.65 	34.76 	Pre-breeding line	Cluster ¢ñ	This study
113	lz-114	East Asia	China	Anhui	117.27 	31.86 	Pre-breeding line	Cluster ¢ñ	This study
114	lz-115	East Asia	China	Jiangsu	118.78 	32.04 	Breeding line	Cluster ¢ô	This study
115	lz-116	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ô	This study
116	lz-117	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ô	This study
117	lz-118	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
118	lz-119	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
119	lz-120	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
120	lz-121	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
121	lz-122	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
122	lz-123	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
123	lz-124	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
124	lz-125	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
125	lz-126	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
126	lz-127	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
127	lz-128	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
128	lz-129	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
129	lz-130	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
130	lz-131	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
131	lz-132	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
132	lz-133	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
133	lz-134	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
134	lz-135	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
135	lz-136	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
136	lz-137	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
137	lz-138	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
138	lz-140	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
139	lz-141	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
140	lz-142	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
141	lz-143	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
142	lz-144	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
143	lz-145	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
144	lz-146	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
145	lz-147	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
146	lz-148	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
147	lz-149	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ô	This study
148	lz-150	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
149	lz-151	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
150	lz-152	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
151	lz-153	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
152	lz-154	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
153	lz-155	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
154	lz-156	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ó	This study
155	lz-157	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
156	lz-158	East Asia	China	Henan	113.65 	34.76 	Pre-breeding line	Cluster ¢ó	This study
157	lz-159	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
158	lz-160	East Asia	China	Hubei	114.31 	30.52 	Pre-breeding line	Cluster ¢ó	This study
159	lz-161	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
160	lz-162	East Asia	China	Hubei	111.43 	30.53 	Pre-breeding line	Cluster ¢ó	This study
161	lz-163	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ó	This study
162	lz-164	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
163	lz-165	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
164	lz-166	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ô	This study
165	lz-167	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
166	lz-168	East Asia	China	Jilin	125.35 	43.88 	Pre-breeding line	Cluster ¢ñ	This study
167	lz-169	East Asia	China	Liaoning	122.68 	40.88 	Pre-breeding line	Cluster ¢ñ	This study
168	lz-170	East Asia	China	Liaoning	123.35 	42.75 	Pre-breeding line	Cluster ¢ñ	This study
169	lz-171	East Asia	China	Liaoning	120.77 	41.80 	Pre-breeding line	Cluster ¢ó	This study
170	lz-172	East Asia	China	Hunan	113.00 	28.21 	Pre-breeding line	Cluster ¢ó	This study
171	lz-173	East Asia	China	Beijing	116.46 	39.92 	Pre-breeding line	Cluster ¢ñ	This study
172	lz-174	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
173	lz-175	Southeast Asia	Philippines	--	121.77 	12.88 	Pre-breeding line	Cluster ¢ô	This study
174	lz-176	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
175	lz-177	East Asia	China	Henan	113.65 	34.76 	Pre-breeding line	Cluster ¢ô	This study
176	lz-178	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ñ	This study
177	lz-179	East Asia	China	Hubei	112.77 	32.13 	Pre-breeding line	Cluster ¢ó	This study
178	lz-180	East Asia	China	Neimenggu	118.87 	42.28 	Pre-breeding line	Cluster ¢ô	This study
179	lz-181	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
180	lz-182	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
181	lz-183	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
182	lz-184	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
183	lz-185	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
184	lz-186	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
185	lz-187	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ó	This study
186	lz-188	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
187	lz-189	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
188	lz-190	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
189	lz-191	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
190	lz-192	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
191	lz-193	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
192	lz-194	Africa	Madagascar	--	50.64 	25.93 	Pre-breeding line	Cluster ¢ô	This study
193	lz-195	South Asia	India	--	78.96 	20.59 	Pre-breeding line	Cluster ¢ô	This study
194	lz-196	Southeast Asia	Philippines	--	121.77 	12.88 	Pre-breeding line	Cluster ¢ô	This study
195	lz-197	South Asia	India	--	78.96 	20.59 	Pre-breeding line	Cluster ¢ô	This study
196	lz-198	Africa	Nigeria	--	8.68 	9.08 	Pre-breeding line	Cluster ¢ô	This study
197	lz-199	Australia	Australia	--	133.78 	-25.27 	Pre-breeding line	Cluster ¢ô	This study
198	lz-200	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
199	lz-201	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	Cluster ¢ô	This study
200	lz-202	East Asia	China	Hebei	114.48 	38.03 	Breeding line	Cluster ¢ô	This study
201	lz-203	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
202	lz-204	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
203	lz-205	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
204	lz-206	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
205	lz-207	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
206	lz-208	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
207	lz-209	East Asia	China	Tianjin	117.20 	39.13 	Pre-breeding line	Cluster ¢ò	This study
208	lz-210	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ò	This study
209	lz-211	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
210	lz-212	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ò	This study
211	lz-213	East Asia	China	Liaoning	123.38 	41.80 	Pre-breeding line	Cluster ¢ò	This study
212	lz-214	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
213	lz-215	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
214	lz-216	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
215	lz-217	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
216	lz-218	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ò	This study
217	lz-219	East Asia	China	Jiangsu	118.78 	32.04 	Pre-breeding line	Cluster ¢ò	This study
218	AKM9904	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
219	BASANTI	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
220	BHUTAN-LM-1	South Asia	Bhutan	--	90.43 	27.51 	Breeding line	--	Reddy et al
221	BHUTAN-LM-2	South Asia	Bhutan	--	90.43 	27.51 	Breeding line	--	Reddy et al
222	BHUTAN-LM-95	South Asia	Bhutan	--	90.43 	27.51 	Breeding line	--	Reddy et al
223	CHINA-MUNG	East Asia	China	--	104.20 	35.86 	Breeding line	--	Reddy et al
224	COGG-912	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
225	DMS-8	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
226	EC-3988891	Southeast Asia	Thailand	--	100.99 	15.87 	Pre-breeding line	--	Reddy et al
227	EC-520024	Southeast Asia	Thailand	--	100.99 	15.87 	Pre-breeding line	--	Reddy et al
228	EC-520026	Southeast Asia	Thailand	--	100.99 	15.87 	Pre-breeding line	--	Reddy et al
229	EC-520029	Southeast Asia	Thailand	--	100.99 	15.87 	Pre-breeding line	--	Reddy et al
230	EC-520041	Southeast Asia	Thailand	--	100.99 	15.87 	Pre-breeding line	--	Reddy et al
231	EC-550851	Southeast Asia	Thailand	--	100.99 	15.87 	Pre-breeding line	--	Reddy et al
232	GANGA-1	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
233	GANGA-8	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
234	HUM-1	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
235	HUM-16	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
236	HUM-2	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
237	HUM-6	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
238	IC-28083	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
239	IC-282094	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
240	IC-282096	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
241	IC-325828	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
242	IC-436637	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
243	IC-436763	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
244	IC-546476	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
245	IC-546488	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
246	IPM-02-14	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
247	IPM-02-15	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
248	IPM-02-17	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
249	IPM-02-19	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
250	IPM-02-3	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
251	IPM-02-30	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
252	IPM-205-4	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
253	IPM-205-7	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
254	IPM-288	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
255	IPM-406-1	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
256	IPM-409-4	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
257	IPM-410-3	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
258	KM-11-40	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
259	KM-12-28	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
260	KM-16-23	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
261	KM-16-58	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
262	KM-16-60	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
263	KM-16-69	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
264	KM-16-75	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
265	KM-16-76	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
266	KM-16-80	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
267	KM-16-81	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
268	KM-16-82	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
269	KM-2241	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
270	KM-7-134	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
271	LGG-460	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
272	MH-1442	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
273	MH-215	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
274	MH-318	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
275	MH-565	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
276	MH-810	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
277	MH-934	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
278	MH-96-1	South Asia	India	--	78.96 	20.59 	Breeding line	--	Reddy et al
279	ML-1299	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
280	ML-1451	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Reddy et al
